#   k         vct_a(k) [Pa]             vct_b(k) []
    0       0.00225523952394724       0.00000000000000000
    1       0.00503169186413288       0.00000000000000000
    2       0.01015794742852449       0.00000000000000000
    3       0.01855531707406044       0.00000000000000000
    4       0.03066912293434143       0.00000000000000000
    5       0.04586747661232948       0.00000000000000000
    6       0.06332348287105560       0.00000000000000000
    7       0.08070141822099686       0.00000000000000000
    8       0.09494104236364365       0.00000000000000000
    9       0.11169321089982991       0.00000000000000000
   10       0.13140127062797549       0.00000000000000000
   11       0.15458680689334869       0.00000000000000000
   12       0.18186335265636441       0.00000000000000000
   13       0.17459799349308011       0.03935482725501060
   14       0.16605065762996671       0.08565375953912735
   15       0.15599516034126279       0.14012205600738531
   16       0.14416541159152979       0.20420117676258090
   17       0.13024830818176270       0.27958691120147711
   18       0.11387556791305541       0.36827436089515692
   19       0.09461385756731033       0.47261056303977972
   20       0.07534445077180862       0.57698851823806763
   21       0.05765894055366516       0.67278695106506348
   22       0.04273463785648346       0.75362843275070190
   23       0.03164267912507057       0.81371098756790161
   24       0.02522121742367744       0.84849464893341064
   25       0.01919673755764961       0.88112789392471313
   26       0.01361802686005831       0.91134643554687500
   27       0.00853108894079924       0.93890124559402466
   28       0.00397881818935275       0.96355980634689331
   29       0.00000000000000000       0.98511219024658203
   30       0.00000000000000000       1.00000000000000000
